V,pH,d
0,3.34,0.213571428571426
1,3.46,0.209285714285713
2,3.77,0.205
3,3.95,0.185
4,4.12,0.139999999999999
5,4.21,0.117999999999999
6,4.34,0.1
7,4.43,0.0930000000000009
8,4.51,0.080000000000004
9,4.59,0.0790000000000054
10,4.66,0.0820000000000043
11,4.75,0.0840000000000089
12,4.84,0.08900000000001
13,4.92,0.092000000000008
14,5.02,0.100000000000007
15,5.12,0.114000000000007
16,5.24,0.136000000000007
17,5.38,0.188999999999999
18,5.57,0.356000000000004
19,5.9,0.710755767408948
20,6.76,2.63358016069857
20.25,7.31,3.71995403316764
20.5,9.28,3.67200000001547
20.75,9.67,2.92877890278164
21,10.17,1.20929858206851
21.4,10.36,0.713887595014203
21.75,10.57,0.455860062635591
22,10.69,0.406849502580474
23,10.94,0.212959391604287
24,11.07,0.139000000000054
25,11.19,0.0970000000000625
26,11.26,0.0780000000000527
27,11.33,0.0650000000000361
28,11.39,0.0560000000000559
29,11.45,0.0445714285685488
30,11.48,0.0331428571370418
